genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
edm,Fire in the Sky,"Project 91, Nathan Brumley",EDM Music 2022,2022-01-16,270476,0,5,spotify:track:0VD5yNuYVl0IPMYZsoTdIq
edm,Stones,Amethysts,Amethysts (Deluxe Extended Edition),2022-05-25,245202,0,7,spotify:track:5Syck2aE3tT7MCTfSfcFZu
edm,Faraway World,FASSounds,Amusement Park,2020-11-25,97545,0,10,spotify:track:1NIDiXXCDA1voJrRFgykGD
edm,Nightwalkers - DJ Tht Edit,"Raaban, Evana",Rgmusic Records 10 Years Anniversary Party - Hands Up Edition,2014-12-12,208333,0,64,spotify:track:5qzY5tc4EpB0qXsgdvLiJ6
edm,Still With Me - Club Mix,"Tritonal, Cristina Soto",Forever Trance Volume Four,2013-07-31,476590,0,6,spotify:track:7w6IZXTBBNuOToa9gRzmxZ
edm,It's Easy,The Provincial Archive,The Provincial Archive,2015-11-20,198149,0,4,spotify:track:3UR74UE7E9qohiWYNOzpkw
edm,No.10,DJ BENGAKU,EDM - Part 1,2017-03-13,172500,0,10,spotify:track:7mHflCpxohddyUmuj8UT7C
edm,The Balance Of The Soul - Michal Jesensky Remix,"Foxa, Michal Jesensky",The Balance Of The Soul,2010,405000,0,1,spotify:track:4lrDuCd1DAKyBCGSv812gq
edm,Fade,Russ Dawson,Vietnamese,2016-08-21,217933,0,9,spotify:track:6pbWYGchY1ZD1lJkkUwqgf
edm,Eyes Wide Shut,"ILLENIUM, Avril Lavigne, Travis Barker",Rock Me,2024-06-01,152331,0,19,spotify:track:7BzioRvONTvvSONuKwwZSZ
edm,First Time,"ILLENIUM, iann dior",Festival Anthems: Pop,2022-04-15,165779,0,28,spotify:track:45DvB7WQ5LPeKRMymIST6K
edm,fall for you,Steve James,+ one,2020-02-14,197253,0,4,spotify:track:0ivbWQ88X8bk4FdCB643Ad
dance,Olvidarte (feat. Emilia),"Gordo, Emilia",NO HAY VERANO SIN GORDO,2024-12-13,157500,66,5,spotify:track:39KyQTzp1dr7jab7et2PlH
dance,Olvidarte (feat. Emilia),"Gordo, Emilia",Olvidarte (feat. Emilia),2024-12-13,157500,65,1,spotify:track:7yif9yIhSCxhcPExFOktCp
dance,Stop Crying Your Heart Out,Oasis,Heathen Chemistry,2002-02-03,303133,77,4,spotify:track:5YciOakY5dB5dULkiLdCaf
dance,Don't Look Back in Anger - Remastered,Oasis,(What's The Story) Morning Glory? [Remastered],1995-10-02,289560,77,4,spotify:track:0UvCh63URrLFcPkKt99hHd
dance,Titanium (feat. Sia),"David Guetta, Sia",Nothing but the Beat (Ultimate Edition),2012-12-07,245040,85,1,spotify:track:0TDLuuLlV54CkRRUOahJb4
