genre,name,artists_name,album_name,album_release_date,duration_ms,popularity,track_number,uri
hip-hop,WE COULD MAKE STORIES,"Moezart, Qihbad",The Sunrise Tapes,2021-08-20,174245,0,1,spotify:track:6c93OJOGJqASKHkDXz6jj4
hip-hop,Realitetsrap,Svend Spyt,Realitetsrap,2024-01-19,117209,0,1,spotify:track:3gD0u0l1DcT8XwblV1SWbD
hip-hop,Outro,BVA,Bva MC,2012-09-18,28755,0,10,spotify:track:1Ds22mgBDHic93ycVHcvx1
hip-hop,Outro - Skit,Smoke DZA,George Kush da Button: Don't Pass Trump the Blunt,2016-05-31,20373,0,15,spotify:track:3Mjl6vkbRvUTvl32n2VdT8
hip-hop,Crush on You,Lil' Kim,90's Party Anthems,2016-11-26,275640,0,15,spotify:track:1jobY8YQKj0Kuw8zlGlr1u
hip-hop,Are Dharm Yudhistar Se - Hindi,Harendra Nagar,Are Dharm Yudhistar Se (Hindi),2022-11-16,857154,0,1,spotify:track:3V8gpHR8hCcSgwL4m3RRea
hip-hop,Васко да Гама - Инструментальная версия,Da Gudda Jazz,Легенда (Инструментальная версия),2016-09-24,171755,0,9,spotify:track:63lie3B48ezKGmCSQ5kHAl
hip-hop,Octave Love,OCnotes,Old Canvas,2023-10-06,59861,0,42,spotify:track:7GFCgHbzClKKaqySwPuuKQ
hip-hop,Fire Dance,ohbliv,Ecstasis by Darktwaine,2018-08-02,260349,0,3,spotify:track:4U90OD4ay3vKkYs8FQODac
hip-hop,Fellow,"Lastend, Wavy Mroy",Fellow,2019-09-06,181498,0,1,spotify:track:4s3CNMSqNuII7Gfs8hbQlX
hip-hop,Bhuli Galu,Damo,Bhuli Galu,2024-05-15,307989,0,1,spotify:track:6c4oezXWy4c7wpVE2MxquF
hip-hop,Slobodan Stil,"Nidža Bleja, Plavi, Firma, D.O.N.",Slobodan Stil,2005-11-21,372845,0,1,spotify:track:5RDuYOIjQnW6F6hlejfiUq
hip-hop,Dr. BAE - Instrumental,Hollywood Luck,Welcome To Hollywood (Instrumental),2022-03-17,166452,0,7,spotify:track:7nEqElzHrNOKA9RmONelNk
hip-hop,POLO FREESTYLE,Readi,POLO FREESTYLE,2020-12-19,72019,0,1,spotify:track:7IZFANmjgolMqynqWlLrpZ
hip-hop,Gunzzz,Showbiz,Still Diggin: Volume 1,2012-04-24,152600,0,13,spotify:track:0urU5gEnYlXW3EXSOfYz2O
hip-hop,Interlude,Jim Jones,The Owner's Manual,2005-08-16,14640,0,13,spotify:track:29G73SYpz8JHuSJQ595V7M
hip-hop,Hood,"Johnny Katharsis, Testa",Irrlichter - Instrumental Collection,2023-09-19,146380,0,43,spotify:track:2dCdk1LwjQNBHfz5dvpGdb
hip-hop,Ghetto Youth,Brass Tacks,The Gold Tape,1995-08-08,20789,0,9,spotify:track:2T88pN4AjyjqdbazJVUrGF
hip-hop,CYBERSH!T,whereamiohmygod,SHANGOD,2024-10-12,102400,0,2,spotify:track:0F6G9E5WDDFavpkSydO5xV
hip-hop,Joseph Fanai x Tetea J Nuimawite,Zorimawi,Joseph Fanai x Tetea J Nuimawite,2016-12-03,183000,0,1,spotify:track:6niWVU1iaAZxnM9zjQOO1v
hip-hop,Truth Hurts,Lizzo,Pool Parties 2024,2024-04-24,173325,0,2,spotify:track:0kr46K9geFCUoMOoH56nVy
hip-hop,What If I Told You That I Love You,Ali Gatie,Easy Pop - 20's,2024-01-12,193667,0,24,spotify:track:1tI9gZ9CRZ7IQCkoSOGP4F
hip-hop,Birdsong,Tim Taylor,A Little Orange,2019-08-18,433387,0,11,spotify:track:5MpbRJKJ6NNkkKqVc10gxk
hip-hop,Ms. Jacki,Jacki-O,Poe Little Rich Girl - Clean,2004-10-26,236600,0,2,spotify:track:0ypcXhlJwFQiTabW6gK1nt
hip-hop,For Da Strip Club,Kc Young Boss,King Shit (Remastered),2019-08-22,220285,0,7,spotify:track:7c6b8zBWFatjkjfk2q7hv1
hip-hop,Lukisan Hidup,"Ebith Beat A, DYAN WIDYA",Lukisan Hidup,2024-02-16,240020,1,1,spotify:track:6kYxxwjXGyROoiNLobxKhW
hip-hop,Ocean Spray,OCnotes,The Beach Scavenger,2023-10-06,78548,0,10,spotify:track:1crVyO3SkdPfMgQQ9kBwcl
hip-hop,Timeout,Dialekten,Spis Rester 2 (Mixtape),2012-05-27,281907,0,15,spotify:track:5wQAP0KwItQfcdGLNhqmlB
hip-hop,Inside,"Porter Ray, JusMoni",Electric Rain,2016-07-15,138935,0,5,spotify:track:4rjgpdZlA8NI6ygP5vhYH5
hip-hop,Cold Summer,Lil Los,Cold Summer (w/ Nate Bone),2019-08-26,169665,0,1,spotify:track:4vleIGXGTYoFEC4I89K309
hip-hop,Make Me Feel,Janelle Monáe,Mardi Gras Party 2024,2024-02-10,194230,0,32,spotify:track:1gD85rWzCFsriz721Dez7u
hip-hop,Clout,Nines,Rap Royalty,2022-01-14,155837,0,27,spotify:track:19MDh6XvMEbnEJb0UPmAuY
hip-hop,Purse,Lilrb,Billionaire Intentions,2023-06-02,124604,2,7,spotify:track:46WIIC9Qhd7EkhhzEJNfg2
hip-hop,Try More D2o,Doseone,High Hell Soundtrack,2017-10-22,27428,0,4,spotify:track:08Fbh0y69EYtEOLKtPWg8Y
hip-hop,Lem & Ginger,Abnormal Sleepz,Meditape III,2021-07-27,204800,0,14,spotify:track:0hDi6ST38PB7kSPWKo7frn
hip-hop,playing with the stars,OCnotes,Crater Nate,2014-08-26,68666,0,35,spotify:track:69SSNFBIwGxggr2PElPZiU
hip-hop,Game Thicc,"Rich The Factor, Rush",Black Border Brothers 2,2011-09-13,233499,1,8,spotify:track:6XO0zbXB7Hfu2tl4tQ9uri
hip-hop,I.a.G.F.P.,"C.W. Da YoungBlood, Jonesy, Tiio-Etienne",A Fake Nigga Made It Before I Did,2019-02-23,222913,0,6,spotify:track:2bQZHFUaY84Jfvo4vQKVXX
hip-hop,LA,Scoot Da Kidd,That Type Of Time 2,2022-07-14,171337,0,3,spotify:track:5SEbjP1iWJEHgvCCzlG6dE
hip-hop,Lover,whereamiohmygod,for the birds,2022-06-27,76896,0,9,spotify:track:7sDgR6sGXTM6QGQUMjmgaP
hip-hop,BUSY (interlude),austin fox 狐,ESCAPE FROM TELEVANIA,2020-11-27,159103,0,6,spotify:track:1hcIzFVnL4i5qoiy4lcLHe
hip-hop,GORDO RONALDO,Micro TDH,Rimas Latinas,2023-07-21,194830,0,19,spotify:track:3fattsieFJVp7K9JWqny4s
hip-hop,Going Down,Szenario,Dreaming In Public,2010-02-26,95853,0,15,spotify:track:6IXoxS5I3ZwAQ2lPnwAO7p
electronic,DIA DELÍCIA,"Nakama, Mc Staff, ΣP",DIA DELÍCIA,2025-04-25,75461,90,1,spotify:track:094IjHeVUviN4aBnSXYsuj
electronic,PASSO BEM SOLTO - Slowed,ATLXS,PASSO BEM SOLTO,2024-04-23,116072,89,3,spotify:track:4sTlQPMyoFMPdhAJvErBN3
electronic,LUNA BALA - Slowed,"Yb Wasg'ood, Ariis",LUNA BALA,2025-04-18,124110,88,2,spotify:track:49t3uvN9hUNefdvtaD6HBj
electronic,Vem Vem,"Jmilton, MC Xangai",Vem Vem,2025-05-30,83183,85,1,spotify:track:2FnkrCrbXJuebXxnVtXiHI
electronic,MONTAGEM BAILÃO,"Repsaj, ATLXS, Mc Jhey",MONTAGEM BAILÃO,2025-04-04,103727,87,1,spotify:track:1RnPdd7EKKhKN3E4o4DRsh
electronic,Titanium (feat. Sia),"David Guetta, Sia",Nothing but the Beat (Ultimate Edition),2012-12-07,245040,85,1,spotify:track:0TDLuuLlV54CkRRUOahJb4
electronic,I'm Good (Blue),"David Guetta, Bebe Rexha",I'm Good (Blue),2022-08-26,175238,87,1,spotify:track:4uUG5RXrOk84mYEfFvj3cK
electronic,"What Is Love - 7"" Mix",Haddaway,The Album,1993-09-13,270373,84,1,spotify:track:0OTO8ZF2YqFQVw9hnZylTd
electronic,MONTAGEM XONADA,"MXZI, Dj Samir, DJ Javi26",MONTAGEM XONADA,2025-07-02,75682,83,1,spotify:track:2Gs0iF27my40p0dANv2rAg
